,CustomID,A,B,C,D,A1,A2,A3,A4,B1,B2,B3,B4,C1,D1,D2,group
149,C00150,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
150,C00151,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
151,C00152,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
152,C00153,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
153,C00154,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
154,C00155,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
155,C00156,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
156,C00157,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
157,C00158,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
158,C00159,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
159,C00160,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
160,C00161,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
161,C00162,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
162,C00163,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
163,C00164,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
164,C00165,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
165,C00166,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
166,C00167,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
167,C00168,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
168,C00169,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
169,C00170,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
170,C00171,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
171,C00172,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
172,C00173,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
173,C00174,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
174,C00175,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
175,C00176,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
176,C00177,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
177,C00178,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
178,C00179,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,3
179,C00180,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,9
180,C00181,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,3
181,C00182,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
182,C00183,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
183,C00184,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
184,C00185,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
185,C00186,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
186,C00187,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
187,C00188,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
188,C00189,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
189,C00190,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
190,C00191,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
191,C00192,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
192,C00193,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
193,C00194,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
194,C00195,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
